Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng,timestamp
United States of America,North Mankato,59,Moderate,1,Good,36,Good,3,Good,59,Moderate,44.181,-94.0391,2024-03-04 08:00:00
United Kingdom of Great Britain and Northern Ireland,North Shields,32,Good,0,Good,32,Good,1,Good,13,Good,55.0097,-1.4448,2024-03-04 09:00:00
United States of America,Northport,63,Moderate,2,Good,19,Good,16,Good,63,Moderate,33.2586,-87.5993,2024-03-04 10:00:00
United States of America,Nutley,72,Moderate,2,Good,20,Good,18,Good,72,Moderate,40.8192,-74.1571,2024-03-04 11:00:00
Mexico,Navolato,68,Moderate,1,Good,24,Good,3,Good,68,Moderate,24.7656,-107.7019,2024-03-04 12:00:00
Zambia,Nchelenge,59,Moderate,1,Good,24,Good,0,Good,59,Moderate,-9.3533,28.7403,2024-03-04 13:00:00
Russian Federation,Nikolsk,57,Moderate,1,Good,36,Good,0,Good,57,Moderate,53.7167,46.0667,2024-03-04 14:00:00
United States of America,Morton Grove,63,Moderate,2,Good,10,Good,22,Good,63,Moderate,42.0423,-87.789,2024-03-04 15:00:00
China,Mianyang,71,Moderate,2,Good,71,Moderate,2,Good,62,Moderate,31.4669,104.7385,2024-03-04 16:00:00
United States of America,Mishawaka,68,Moderate,2,Good,29,Good,8,Good,68,Moderate,41.6742,-86.1666,2024-03-04 17:00:00
Poland,Mogilno,44,Good,1,Good,34,Good,1,Good,44,Good,52.65,17.95,2024-03-04 18:00:00
Japan,Moka,59,Moderate,1,Good,59,Moderate,1,Good,54,Moderate,15.238,77.0599,2024-03-04 19:00:00
France,Montesson,70,Moderate,2,Good,28,Good,5,Good,70,Moderate,48.9086,2.1494,2024-03-04 20:00:00
United States of America,Indiana,85,Moderate,2,Good,9,Good,33,Good,85,Moderate,40.622,-79.1552,2024-03-04 21:00:00
Japan,Ino,34,Good,0,Good,34,Good,0,Good,13,Good,33.5487,133.4278,2024-03-04 22:00:00
